k1,k2,k3,cost,success,ier,mesg,X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH
2.061140887047502e-12,1.337124014753289e-10,1.3590402746369444e-12,1562146.00929,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4472450117093.063,5.202533503636981,9.773843073293797,2.44939296609413e-10,3.63392649367337e-11
1.788882228913161e-12,1.0086852169395385e-10,1.412436858198722e-12,1540173.55156,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4697758903813.634,4.098093844130441,13.68371515460601,2.260817017908539e-10,3.1795349158324275e-11
1.6772152256086293e-12,1.1637858959588226e-10,1.6222844290438753e-12,1536843.3867,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4526255379727.193,4.253848216961899,11.952101472554855,2.509244955262727e-10,3.2037087385864484e-11
1.1890562621237134e-12,1.1061081217136929e-10,1.5692624810810626e-12,1525056.37457,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4853969062010.435,5.008799116907587,8.998400652519297,2.6853042036036435e-10,2.4949893195776563e-11
1.6892472945301193e-12,9.771298268410802e-11,1.3143866420728841e-12,1538424.38634,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4331081963131.5664,5.251615275778426,10.245923528951476,2.4175921956885794e-10,3.338492634739969e-11
1.8375120475977454e-12,9.314353011180835e-11,1.5120257798862812e-12,1540601.32832,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4380664652034.6055,4.820706037646871,9.927480052289402,2.3546661796455057e-10,3.4355835881339175e-11
1.7800582392635165e-12,1.0085831317656928e-10,1.5731376608241963e-12,1536576.03996,True,2,The relative error between two consecutive iterates is at most 0.000000,4491558731168.785,4.112652879025443,10.9076164738278,2.365507826477008e-10,3.313464575353267e-11
1.611888843986443e-12,1.1237199433385904e-10,1.3034260782848483e-12,1528162.94044,True,2,The relative error between two consecutive iterates is at most 0.000000,4586810562017.225,5.584273528294413,9.300909446371286,2.474042232126906e-10,3.099940483029088e-11
1.5075897711999835e-12,1.1809589554277059e-10,1.5332981559697408e-12,1527140.89788,True,2,The relative error between two consecutive iterates is at most 0.000000,4676425542430.152,4.825195915656514,10.69012997154854,2.5635393130303397e-10,2.954936791077084e-11
1.404410735174161e-12,1.1302113362922135e-10,1.5267414330000505e-12,1523920.7071,True,2,The relative error between two consecutive iterates is at most 0.000000,4755251313813.726,4.733807955762472,9.000276262238804,2.553348379950416e-10,2.7713458748017877e-11
1.455633606249883e-12,1.2252126128326506e-10,1.594392768002937e-12,1530298.4757,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4876483482672.8,3.987297685167711,10.670106428586594,2.540505693264153e-10,2.7986318550729652e-11
1.4364433726790726e-12,1.1911940436436809e-10,1.268411205119903e-12,1526225.35117,True,2,The relative error between two consecutive iterates is at most 0.000000,4859500094804.643,5.591228158722028,11.01017869239618,2.529787942530166e-10,2.7781506845245992e-11
1.8463818902112823e-12,1.2990937835209856e-10,1.613526356048905e-12,1552020.30581,True,2,The relative error between two consecutive iterates is at most 0.000000,4502531523014.697,3.8574232880019026,9.0721761086359,2.4964731068597196e-10,3.424759261710552e-11
2.0251438250413095e-12,1.2037818073483793e-10,1.3221132196617685e-12,1553179.91954,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4511873335232.5625,5.105974492485074,8.231475370584945,2.3634470449202053e-10,3.566219380210412e-11
2.342167150884974e-12,1.0399588179980401e-10,1.425315771178073e-12,1574294.51706,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4314948402423.8267,4.212984667244432,12.28067878116943,2.2537159238484708e-10,3.977429688065865e-11
