t-data,H2O2-data,HO2-data,OH-data,t-model,H2O2-model,HO2-model,OH-model
25.0,6046.0,573.85,0.18,25.000000000000007,5993.252109692051,476.2528633653216,8.87410353737202e-05
25.200000000000003,6033.0,548.85,-0.82,25.20000000000001,5993.208290644095,475.7626351625397,8.590479342700645e-05
25.400000000000006,5885.0,556.85,1.18,25.400000000000006,5993.181001885678,475.1503059862534,8.318117774479515e-05
25.6,6022.0,589.85,-0.82,25.60000000000001,5993.167988024475,474.43730870854836,8.056485257741838e-05
25.800000000000004,5879.0,588.85,-0.82,25.80000000000001,5993.157145950763,473.71596786508053,7.805077547331966e-05
26.0,6001.0,612.85,0.18,26.000000000000007,5993.118731234893,473.1982412634435,7.563417896514514e-05
26.200000000000003,5924.0,598.85,0.18,26.20000000000001,5993.074892615896,472.7100278867007,7.3310553514567e-05
26.400000000000006,5885.0,561.85,1.18,26.400000000000006,5993.04754856918,472.10183731951975,7.107563161805809e-05
26.6,5874.0,558.85,0.18,26.60000000000001,5993.034448728042,471.39473017415276,6.892537305220193e-05
26.800000000000004,5954.0,579.85,-0.82,26.80000000000001,5993.0235159700305,470.67943683995367,6.685595111010143e-05
27.0,5950.0,603.85,-0.82,27.000000000000007,5992.985069062068,470.1642619282906,6.486373977799494e-05
27.200000000000003,5985.0,576.85,0.18,27.20000000000001,5992.941209670564,469.67810635600955,6.294530176701382e-05
27.400000000000006,5933.0,568.85,0.18,27.400000000000006,5992.9138098590165,469.0740549094162,6.109737733637772e-05
27.6,5973.0,594.85,-0.82,27.60000000000001,5992.9006241868265,468.3728033287964,5.9316873871567684e-05
27.800000000000004,5944.0,569.85,0.18,27.80000000000001,5992.889601017174,467.66351923152246,5.760085614214856e-05
28.0,5846.0,566.85,0.18,28.000000000000007,5992.851121099417,467.1509257779362,5.594653719761499e-05
28.200000000000003,6082.0,581.85,1.18,28.20000000000001,5992.807239929825,466.66686686172056,5.4351269850498055e-05
28.400000000000006,5953.0,618.85,0.18,28.400000000000013,5992.779784048571,466.06695194899834,5.281253870464857e-05
28.6,5913.0,554.85,1.18,28.60000000000001,5992.766512844404,465.3715191281306,5.1327952697046854e-05
28.800000000000004,5910.0,545.85,0.18,28.80000000000001,5992.755399676199,464.6682039354269,4.989523811040291e-05
29.0,5929.0,541.85,0.18,29.000000000000007,5992.716886089325,464.1582182721812,4.8512232026081486e-05
29.200000000000003,5994.0,548.85,0.18,29.20000000000001,5992.672982292449,463.6762913204149,4.71768761851919e-05
29.400000000000006,5903.0,549.85,2.18,29.400000000000013,5992.64547017136,463.08050778947575,4.5887211229644523e-05
29.6,5984.0,547.85,0.18,29.60000000000001,5992.632113849915,462.39085517478355,4.464137129941389e-05
29.800000000000004,5949.0,560.85,0.18,29.80000000000001,5992.620911203438,461.6934669849334,4.3437578959647345e-05
30.0,5951.0,547.85,0.18,30.000000000000007,5992.582363411267,461.18611264042937,4.227414043612746e-05
30.200000000000003,6020.0,561.85,-0.82,30.20000000000001,5992.538436259812,460.70635005919394,4.1149441137883996e-05
30.400000000000006,6003.0,538.85,1.18,30.400000000000013,5992.510867832416,460.1146907314504,4.006194144780039e-05
30.6,5887.0,564.85,0.18,30.60000000000001,5992.497426896032,459.43077847127586,3.9010172764201986e-05
30.800000000000004,6015.0,534.85,-0.82,30.80000000000001,5992.486135373722,458.7392741800038,3.799273377623072e-05
31.0,5958.0,573.85,0.18,31.000000000000007,5992.447552942832,458.23457209845924,3.70082869579888e-05
31.200000000000003,5958.0,526.85,1.18,31.20000000000001,5992.403601813309,457.7570035582414,3.60555552670872e-05
31.400000000000006,5978.0,561.85,-0.82,31.400000000000013,5992.375977098862,457.1694594185656,3.513331903441432e-05
31.6,5988.0,556.85,0.18,31.60000000000001,5992.36245211973,456.49124657360295,3.42404130331115e-05
31.800000000000004,6012.0,546.85,0.18,31.80000000000001,5992.351072388442,455.8055821116709,3.337572371512705e-05
32.0,5900.0,570.85,1.18,32.00000000000001,5992.312454969087,455.3035509793983,3.253818660483441e-05
32.2,6031.0,577.85,0.18,32.20000000000001,5992.268479322962,454.82820375441855,3.172678383979266e-05
32.400000000000006,6034.0,558.85,0.18,32.40000000000001,5992.240798409218,454.2447642419765,3.09405418494609e-05
32.6,6011.0,546.85,0.18,32.60000000000001,5992.2271900136675,453.5722090326269,3.0178529163383923e-05
32.800000000000004,6057.0,551.85,1.18,32.80000000000001,5992.215722792163,452.89233949808755,2.9439854340795314e-05
33.0,5989.0,548.85,2.18,33.00000000000001,5992.177070116529,452.3929954685486,2.8723664014225748e-05
33.2,5838.0,516.85,-0.82,33.20000000000001,5992.133069501833,451.91989406577875,2.8029141040157667e-05
33.400000000000006,5938.0,570.85,1.18,33.40000000000001,5992.105332543029,451.340546865955,2.7355502750247884e-05
33.6,6037.0,550.85,-0.82,33.60000000000001,5992.091641406276,450.6736066039343,2.67019992970946e-05
33.800000000000004,5903.0,510.85,0.18,33.80000000000001,5992.0800874513825,449.9994865738029,2.6067912088873242e-05
34.0,5868.0,552.85,0.18,34.00000000000001,5992.041399285828,449.5028449755209,2.5452552307569948e-05
34.2,6065.0,543.85,-0.82,34.20000000000001,5991.997373280496,449.0320131468754,2.485525950586934e-05
34.400000000000006,6037.0,527.85,0.18,34.40000000000001,5991.969580455385,448.4567456010135,2.4275400278079034e-05
34.6,5957.0,525.85,0.18,34.60000000000001,5991.955807272849,447.7953775799637,2.3712367000777708e-05
34.800000000000004,6158.0,476.85,0.18,34.80000000000001,5991.944167368402,447.1269612814286,2.3165576639134153e-05
35.0,6002.0,564.85,-0.82,35.000000000000014,5991.905443552576,446.633034780567,2.2634469615112396e-05
35.2,5952.0,518.85,0.18,35.20000000000001,5991.861391818419,446.1644931961468,2.2118508734012298e-05
35.400000000000006,5947.0,473.85,0.18,35.40000000000001,5991.833543366149,445.59329073495775,2.1617178166020006e-05
35.6,5930.0,516.85,0.18,35.60000000000001,5991.819688872776,444.9374513266135,2.1129982479652586e-05
35.800000000000004,5907.0,535.85,0.18,35.80000000000001,5991.807963831937,444.2746924357677,2.0656445724169833e-05
36.0,5849.0,519.85,0.18,36.000000000000014,5991.769204241825,443.78349243324277,2.0196110558210083e-05
36.2,5927.0,521.85,-0.82,36.20000000000001,5991.7251264756005,443.31726049412185,1.9748537422073777e-05
36.400000000000006,5992.0,564.85,-0.82,36.40000000000001,5991.697222659879,442.7501079048058,1.9313303751236298e-05
36.6,6007.0,526.85,-0.82,36.60000000000001,5991.683287606547,442.09975334175584,1.8890003228819183e-05
36.800000000000004,5888.0,546.85,-0.82,36.80000000000001,5991.671478256022,441.4426054647488,1.8478245074884264e-05
37.0,5977.0,569.85,0.18,37.000000000000014,5991.632682793401,440.9541423772148,1.8077653370544598e-05
37.2,5942.0,511.85,-0.82,37.20000000000001,5991.588578719145,440.4902383922517,1.7687866415005044e-05
37.400000000000006,5990.0,543.85,1.18,37.40000000000001,5991.560619821853,439.92711995243616,1.7308536113757857e-05
37.6,6003.0,491.85,0.18,37.60000000000001,5991.546604969708,439.2822064416587,1.6939327396263442e-05
37.800000000000004,5988.0,493.85,0.18,37.80000000000001,5991.534712146867,438.630623118844,1.6579917661544055e-05
38.0,6053.0,475.85,-0.82,38.000000000000014,5991.495880747942,438.14490593702556,1.622999625021038e-05
38.2,5940.0,532.85,0.18,38.20000000000001,5991.451750128916,437.68334657799255,1.5889263941526733e-05
38.400000000000006,5967.0,554.85,1.18,38.40000000000001,5991.423736457556,437.12424569358757,1.555743247420115e-05
38.6,6081.0,493.85,1.18,38.60000000000001,5991.40964258168,436.4847291961017,1.5234224089662328e-05
38.800000000000004,5922.0,471.85,0.18,38.80000000000001,5991.397667141565,435.8386635340175,1.4919371096656002e-05
39.0,5979.0,538.85,-0.82,39.000000000000014,5991.358799810044,435.3556984494197,1.461261545605965e-05
39.2,5895.0,525.85,1.18,39.20000000000001,5991.314642488091,434.8964971924392,1.4313708384876872e-05
39.400000000000006,6066.0,532.85,-0.82,39.40000000000001,5991.286574402575,434.3413953375465,1.4022409978431172e-05
39.6,5962.0,489.85,-0.82,39.60000000000001,5991.27240230723,433.70723095449017,1.3738488849833739e-05
39.800000000000004,5966.0,503.85,0.18,39.80000000000001,5991.260345113306,433.0666360155082,1.3461721785851403e-05
40.0,5920.0,509.85,-0.82,40.000000000000014,5991.221441822533,432.58643027877207,1.319189341834929e-05
40.2,5961.0,494.85,1.18,40.20000000000001,5991.1772575959485,432.1296020385486,1.2928795910528379e-05
40.400000000000006,6109.0,521.85,0.18,40.40000000000001,5991.1491354224445,431.57848194669606,1.2672228657220628e-05
40.6,6071.0,522.85,-0.82,40.60000000000001,5991.134885887794,430.9496258497882,1.2421997998545003e-05
40.800000000000004,5879.0,467.85,-0.82,40.80000000000001,5991.122747796875,430.3144550684642,1.2177916946265184e-05
41.0,5934.0,540.85,-0.82,41.000000000000014,5991.083808572968,429.8370136030761,1.1939804922225629e-05
41.2,5901.0,492.85,-0.82,41.20000000000001,5991.039597309049,429.38257039033834,1.1707487508275981e-05
41.400000000000006,5990.0,474.85,-0.82,41.40000000000001,5991.011421418506,428.835413078431,1.148079620712553e-05
41.6,6010.0,506.85,2.18,41.60000000000001,5990.99709524766,428.2118207321168,1.1259568213599104e-05
41.800000000000004,5808.0,477.85,-0.82,41.80000000000001,5990.984877130752,427.582027152806,1.1043646195793756e-05
42.0,5869.0,524.85,1.18,42.000000000000014,5990.945902030017,427.10735347722795,1.0832878085662057e-05
42.2,5990.0,528.85,-0.82,42.20000000000001,5990.901663627646,426.655305823429,1.0627116878572626e-05
42.400000000000006,5906.0,467.85,-0.82,42.40000000000001,5990.87343440894,426.1120915782986,1.042622044142208e-05
42.6,5978.0,486.85,1.18,42.600000000000016,5990.85903241128,425.4937183372459,1.0230051328894608e-05
42.800000000000004,5948.0,503.85,1.18,42.80000000000001,5990.846735138316,424.86925517911516,1.003847660748642e-05
43.0,5894.0,480.85,-0.82,43.000000000000014,5990.807724211255,424.39735278656025,9.851367686931814e-06
43.2,5874.0,538.85,-0.82,43.20000000000001,5990.7634585606065,423.9477112469263,9.668600158686424e-06
43.400000000000006,5832.0,484.85,1.18,43.40000000000001,5990.735176392217,423.40842065652447,9.490053641140645e-06
43.6,6007.0,496.85,-0.82,43.600000000000016,5990.720699365818,422.7952223840418,9.315611631252874e-06
43.800000000000004,5888.0,514.85,-0.82,43.80000000000001,5990.708323802845,422.1760430783088,9.14516136230792e-06
44.0,5877.0,484.85,0.18,44.000000000000014,5990.66927713583,421.70691377413084,8.97859366752068e-06
44.2,5881.0,481.85,0.18,44.20000000000002,5990.62498417294,421.25968685691413,8.815802849219254e-06
44.400000000000006,5952.0,456.85,0.18,44.400000000000006,5990.596649460974,420.7242993905367,8.656686553354908e-06
44.60000000000001,6038.0,531.85,0.18,44.60000000000001,5990.582098215667,420.1162315948204,8.501145649098793e-06
44.8,5932.0,447.85,0.18,44.80000000000001,5990.569645231898,419.50228951637365,8.349084113297249e-06
45.0,5914.0,460.85,1.18,45.000000000000014,5990.530562911084,419.03593476077384,8.200408919568614e-06
45.2,5923.0,456.85,1.18,45.20000000000002,5990.486242569325,418.5911306452344,8.055029931835293e-06
45.400000000000006,5932.0,462.85,0.18,45.400000000000006,5990.457855714802,418.05962574894716,7.912859802094632e-06
45.60000000000001,5943.0,483.85,0.18,45.60000000000001,5990.443231053116,417.45664418585733,7.773813872241897e-06
45.8,6031.0,479.85,-0.82,45.80000000000001,5990.430701516438,416.847892768144,7.637810079767548e-06
46.0,5928.0,445.85,0.18,46.000000000000014,5990.391583665358,416.3843123861635,7.504768867159548e-06
46.2,6014.0,463.85,0.18,46.20000000000002,5990.34723592355,415.9419373956137,7.374613094849656e-06
46.400000000000006,6022.0,492.85,0.18,46.40000000000002,5990.318797352276,415.41429365182813,7.247267957550166e-06
