t,H2O2,OH,HO2
15.799999999999997,520980180267558.7,24497950.226347405,1943069947090.6465
16.0,520976856699407.6,23238939.197446484,1940993463276.7007
16.199999999999996,520973051357394.1,22061162.282258384,1939051262319.793
16.4,520970714123190.9,20958223.72372826,1936557698309.3472
16.599999999999994,520969644594408.1,19924331.66955574,1933609495625.9766
16.799999999999997,520968768402432.4,18954227.657772433,1930622828639.1497
17.0,520965445843327.4,18043145.428090986,1928552839072.774
17.199999999999996,520961642492288.8,17186754.366463292,1926614958685.5696
17.4,520959303337798.4,16381087.806549747,1924135627866.2524
17.599999999999994,520958228514788.2,15622520.104951933,1921209845849.2722
17.799999999999997,520957346364488.5,14907731.264945444,1918246437699.9722
18.0,520954023748864.8,14233682.446504433,1916183720124.052
18.199999999999996,520950221372458.7,13597587.305407817,1914250938875.3735
18.4,520947879421970.9,12996879.160842594,1911786381940.2122
18.599999999999994,520946798553737.6,12429195.2988208,1908883361296.2532
18.799999999999997,520945909760700.3,11892357.828252269,1905943502162.853
19.0,520942586337757.2,11384358.814322427,1903888633058.9497
19.199999999999996,520938784210294.6,10903344.620486086,1901961541931.8926
19.4,520936438853626.1,10447599.406874688,1899512131582.6997
19.599999999999994,520935351431955.3,10015534.818901101,1896632062426.4585
19.799999999999997,520934455535003.3,9605678.971554896,1893715904750.9421
20.0,520931130761965.3,9216667.25159726,1891669327949.141
20.199999999999996,520927328350390.7,8847233.22397459,1889748394397.2195
20.4,520924979154248.5,8496199.592457874,1887314392405.234
20.599999999999994,520923884833538.7,8162471.5099891275,1884457365041.106
20.799999999999997,520922981522045.8,7845029.929857425,1881564968927.4883
21.0,520919654998402.3,7542925.8056289945,1879527035825.6633
21.199999999999996,520915851902423.3,7255274.553015244,1877612640039.3188
21.4,520913498555520.9,6981250.737120378,1875194230544.1301
21.599999999999994,520912397102384.0,6720083.7224183455,1872360266117.393
21.799999999999997,520911486170108.7,6471053.508227853,1869491627246.4165
22.0,520908157595870.0,6233487.00020472,1867462621181.1829
22.199999999999996,520904353509796.8,6006754.511696058,1865555078113.601
22.4,520901995787492.2,5790266.470609362,1863152388328.5347
22.599999999999994,520900887047947.1,5583470.562325835,1860341458293.5867
22.799999999999997,520899968362089.4,5385849.043442855,1857496527245.25
22.999999999999993,520896637506428.3,5196916.299114266,1855476686690.3293
23.199999999999996,520892832189215.6,5016216.568124557,1853576269107.8875
23.4,520890469926675.4,4843321.82006091,1851189388888.7551
23.599999999999994,520889353802155.1,4677829.852945648,1848401431518.8188
23.799999999999997,520888427282283.7,4519362.518221994,1845580126805.194
23.999999999999993,520885093967400.5,4367564.091044409,1843569650992.025
24.199999999999996,520881287228916.4,4222099.7558303205,1841676592640.8875
24.4,520878920307438.1,4082654.197135309,1839305579269.8071
24.599999999999994,520877796741155.5,3948930.313714437,1836540505824.8218
24.799999999999997,520876862345596.1,3820648.0213667825,1833742721423.1206
24.999999999999993,520873526431941.1,3697543.1467121663,1831741781398.9023
25.199999999999996,520869718118413.8,3579366.398739835,1829856288633.6602
25.4,520867346452362.4,3465882.411795859,1827501176639.2922
25.599999999999994,520866215417642.3,3356868.862977092,1824758879549.3345
25.799999999999997,520865273132985.9,3252115.650135036,1821984491791.6128
25.999999999999993,520861934510022.3,3151424.128796312,1819993235812.4663
26.199999999999996,520858124495645.2,3054606.4015303054,1818115492241.9688
26.4,520855748024538.3,2961484.655689776,1815776297878.5754
26.599999999999994,520854609517331.4,2871890.5486321095,1813056655088.6555
26.799999999999997,520853659351307.3,2785664.6342363493,1810305526975.2195
26.999999999999993,520850317930469.5,2702655.8285955214,1808324085302.7937
27.199999999999996,520846506110675.7,2622720.911339865,1806454256508.8855
27.4,520844124792992.5,2545724.0599366543,1804130981938.8716
27.599999999999994,520842978826175.9,2471536.4154474,1801433860610.7817
27.799999999999997,520842020802490.6,2400035.676603776,1798705844912.8765
27.999999999999993,520838676512963.0,2331105.7204678757,1796734331564.9324
28.199999999999996,520834862800675.3,2264636.2475616587,1794872566399.2644
28.4,520832476610141.5,2200522.4497120744,1792565201278.2156
28.599999999999994,520831323209843.0,2138664.699293143,1789890459616.3757
28.799999999999997,520830357364457.6,2078968.2580842979,1787185401112.8555
28.999999999999993,520827010148855.4,2021343.0044755936,1785223917531.388
29.199999999999996,520823194470140.4,1965703.1776797802,1783370352034.5645
29.4,520820803391878.1,1911967.137776327,1781078876712.097
29.599999999999994,520819642594084.4,1860057.140597382,1778426366531.5845
29.799999999999997,520818668972165.2,1809899.1263572997,1775744104156.2183
29.999999999999993,520815318783761.0,1761422.52113024,1773792741072.998
30.199999999999996,520811501075265.0,1714560.050292336,1771947500143.397
30.4,520809105103397.1,1669247.5631302944,1769671887185.991
30.599999999999994,520807936951704.9,1625423.8679075725,1767041455318.7507
30.799999999999997,520806955605540.8,1583030.5766716576,1764381823412.6523
30.999999999999993,520803602406455.6,1542011.9591767183,1762440661762.6145
31.199999999999996,520799782613749.0,1502314.8053231256,1760603859940.968
31.4,520797381749781.3,1463888.2955644818,1758344074963.31
31.599999999999994,520796206293816.3,1426683.8787815976,1755735564125.115
31.799999999999997,520795217281373.2,1390655.1571389097,1753098393156.45
31.999999999999993,520791861041597.6,1355757.7774852407,1751167504099.3892
32.199999999999996,520788039118369.6,1321949.328885484,1749339245419.8657
32.4,520785633370273.2,1289189.2459003692,1747095247210.7139
32.599999999999994,520784450664679.1,1257438.717260866,1744508496355.116
32.8,520783454048514.0,1226660.5996016471,1741893613480.7737
32.99999999999999,520780094744638.8,1196819.3359447673,1739973059395.6558
33.199999999999996,520776270651401.4,1167880.878643604,1738153438478.8691
33.4,520773860032434.0,1139812.61651714,1735925179924.9924
33.599999999999994,520772670135805.9,1112583.3059235816,1733360025014.267
33.8,520771665981697.3,1086163.0055368575,1730767255512.8848
33.99999999999999,520768303593702.2,1060523.014606342,1728857094832.7861
34.199999999999996,520764477294139.5,1035635.8144938502,1727046202391.934
34.4,520762061820092.2,1011475.01329549,1724833634368.0503
34.599999999999994,520760864793024.8,988015.293368664,1722289910884.6194
34.8,520759853169053.2,965232.3615953662,1719719078813.1453
34.99999999999999,520756487682258.3,943102.9022240589,1717819361609.5012
35.199999999999996,520752659146040.1,921604.5321422009,1716017278783.173
35.4,520750238837042.7,900715.7584408451,1713820346373.7502
35.599999999999994,520749034743011.1,880415.9381415028,1711297887190.1077
35.8,520748015719632.1,860685.2399632992,1708748814734.5203
