H2O2,OH,HO2
7.83130E+01,1.00000E+00,2.22040E+01
7.74600E+01,1.41420E+00,2.08330E+01
7.66750E+01,1.00000E+00,2.14940E+01
7.71490E+01,1.00000E+00,2.20000E+01
7.66220E+01,1.41420E+00,2.26270E+01
7.72330E+01,1.00000E+00,2.07610E+01
7.66940E+01,1.00000E+00,2.13070E+01
7.69810E+01,1.00000E+00,2.12370E+01
7.71300E+01,1.00000E+00,2.17030E+01
7.69940E+01,1.00000E+00,2.18630E+01
7.74530E+01,1.00000E+00,2.11660E+01
7.76660E+01,1.00000E+00,2.11190E+01
7.75690E+01,1.00000E+00,2.07360E+01
7.72010E+01,1.41420E+00,2.14480E+01
7.74850E+01,1.00000E+00,2.12600E+01
7.71820E+01,1.00000E+00,2.09760E+01
7.81150E+01,1.00000E+00,2.17720E+01
7.70390E+01,1.41420E+00,2.20680E+01
7.69810E+01,1.00000E+00,2.10950E+01
7.73630E+01,1.00000E+00,2.18860E+01
7.71040E+01,1.00000E+00,2.07610E+01
7.74850E+01,1.41420E+00,2.14480E+01
7.71490E+01,1.00000E+00,2.13540E+01
7.69940E+01,1.41420E+00,2.12840E+01
7.71820E+01,1.41420E+00,2.09520E+01
7.71950E+01,1.00000E+00,2.13310E+01
7.73300E+01,1.00000E+00,2.06400E+01
7.71430E+01,1.00000E+00,2.12840E+01
7.59210E+01,1.73220E+00,2.06640E+01
7.69420E+01,1.41420E+00,2.19090E+01
7.72200E+01,1.00000E+00,2.03470E+01
7.65830E+01,1.00000E+00,2.11420E+01
7.72920E+01,1.00000E+00,2.12370E+01
7.72140E+01,1.00000E+00,2.15410E+01
7.69940E+01,1.00000E+00,2.13310E+01
7.73500E+01,1.00000E+00,2.10950E+01
7.71560E+01,1.00000E+00,2.13310E+01
7.64660E+01,1.00000E+00,2.16790E+01
7.71690E+01,1.00000E+00,2.08330E+01
7.69220E+01,1.73220E+00,2.07360E+01
7.74850E+01,1.41420E+00,2.13780E+01
7.64530E+01,1.00000E+00,2.10000E+01
7.71950E+01,1.41420E+00,1.98490E+01
7.74080E+01,1.00000E+00,2.09520E+01
7.65110E+01,1.00000E+00,2.14480E+01
7.80700E+01,1.00000E+00,2.13070E+01
7.69090E+01,1.00000E+00,1.93650E+01
7.71490E+01,1.00000E+00,2.05910E+01
7.81350E+01,1.00000E+00,2.09280E+01
7.79170E+01,1.41420E+00,2.17260E+01
7.64790E+01,1.00000E+00,2.06880E+01
7.70130E+01,1.00000E+00,2.09280E+01
7.72920E+01,1.00000E+00,2.07850E+01
7.69480E+01,1.00000E+00,2.09050E+01
7.70840E+01,1.00000E+00,2.07360E+01
7.68180E+01,1.00000E+00,2.02730E+01
7.74790E+01,1.00000E+00,2.15410E+01
7.71750E+01,1.00000E+00,2.08810E+01
7.70780E+01,1.00000E+00,2.05180E+01
7.65770E+01,1.00000E+00,2.03220E+01
7.70520E+01,1.41420E+00,1.92870E+01
7.70780E+01,1.41420E+00,1.96210E+01
7.58160E+01,1.00000E+00,2.05430E+01
7.78140E+01,1.00000E+00,1.98240E+01
7.63280E+01,1.00000E+00,2.00500E+01
7.68640E+01,1.00000E+00,2.12600E+01
7.69290E+01,1.00000E+00,1.99750E+01
7.70650E+01,1.00000E+00,2.09520E+01
7.79620E+01,1.73220E+00,2.07850E+01
7.66030E+01,1.00000E+00,2.08330E+01
7.72140E+01,1.41420E+00,2.04210E+01
7.73180E+01,1.41420E+00,2.09520E+01
7.71430E+01,1.00000E+00,2.04940E+01
7.74530E+01,1.00000E+00,1.95190E+01
7.71880E+01,1.00000E+00,2.02980E+01
7.68310E+01,1.00000E+00,2.08330E+01
7.74920E+01,1.00000E+00,2.03220E+01
7.67590E+01,1.00000E+00,2.07360E+01
7.82050E+01,1.00000E+00,2.06640E+01
7.71750E+01,1.00000E+00,2.02480E+01
7.71880E+01,1.00000E+00,1.96720E+01
7.69420E+01,1.00000E+00,1.95190E+01
7.60390E+01,1.73220E+00,2.09280E+01
7.62560E+01,1.00000E+00,1.97480E+01
7.76340E+01,1.00000E+00,1.95450E+01
7.65830E+01,1.00000E+00,2.01250E+01
7.75890E+01,1.00000E+00,2.07360E+01
7.72200E+01,1.00000E+00,2.02980E+01
7.67530E+01,1.73220E+00,1.95960E+01
7.69420E+01,1.00000E+00,2.01490E+01
7.74020E+01,1.73220E+00,1.99250E+01
7.72660E+01,1.00000E+00,2.00500E+01
7.78460E+01,1.00000E+00,2.08090E+01
7.73760E+01,1.00000E+00,2.04690E+01
7.71040E+01,1.00000E+00,1.99750E+01
7.68050E+01,1.41420E+00,2.02480E+01
7.60130E+01,1.41420E+00,2.02480E+01
7.70520E+01,1.00000E+00,1.97230E+01
7.67590E+01,1.00000E+00,1.98490E+01
7.63940E+01,1.41420E+00,2.05430E+01
7.76340E+01,1.00000E+00,1.96720E+01
7.62300E+01,1.00000E+00,2.05180E+01
7.67590E+01,1.00000E+00,1.97230E+01
7.69740E+01,1.73220E+00,1.96470E+01
7.74530E+01,1.00000E+00,1.94940E+01
7.71040E+01,1.00000E+00,2.05180E+01
7.83130E+01,1.00000E+00,1.92350E+01
7.79230E+01,1.00000E+00,2.01000E+01
7.78400E+01,1.00000E+00,2.00750E+01
7.74400E+01,1.73220E+00,1.94940E+01
7.67200E+01,1.00000E+00,1.94160E+01
7.74920E+01,1.00000E+00,2.04210E+01
7.66420E+01,1.00000E+00,1.90260E+01
7.75760E+01,1.00000E+00,1.99750E+01
7.71300E+01,1.00000E+00,1.95700E+01
7.69550E+01,1.00000E+00,1.95450E+01
7.68510E+01,1.00000E+00,1.99000E+01
7.76080E+01,1.00000E+00,1.94420E+01
7.76400E+01,1.00000E+00,2.05910E+01
7.67400E+01,1.41420E+00,2.00000E+01
7.62100E+01,1.00000E+00,2.01990E+01
7.69420E+01,1.00000E+00,1.99000E+01
7.71040E+01,1.00000E+00,1.91570E+01
7.75310E+01,1.41420E+00,1.98490E+01
7.80260E+01,1.00000E+00,1.92870E+01
7.68370E+01,1.00000E+00,1.95190E+01
7.68440E+01,1.00000E+00,1.99000E+01
7.72010E+01,1.00000E+00,1.85740E+01
7.63940E+01,1.00000E+00,1.95700E+01
7.69940E+01,1.00000E+00,2.04690E+01
7.67850E+01,1.00000E+00,1.90000E+01
7.67460E+01,1.00000E+00,1.94680E+01
7.74730E+01,1.00000E+00,1.95450E+01
7.61970E+01,1.00000E+00,1.87880E+01
7.70710E+01,1.00000E+00,1.94940E+01
7.69290E+01,1.00000E+00,1.94160E+01
7.66680E+01,1.41420E+00,2.02730E+01
7.78400E+01,1.00000E+00,1.92090E+01
7.68240E+01,1.00000E+00,1.97480E+01
7.71100E+01,1.00000E+00,1.99000E+01
7.71430E+01,1.00000E+00,1.93650E+01
7.77880E+01,1.73220E+00,1.88940E+01
7.70390E+01,1.00000E+00,1.85200E+01
7.68700E+01,1.00000E+00,1.85740E+01
7.70390E+01,1.00000E+00,1.94680E+01
7.73180E+01,1.00000E+00,2.05910E+01
7.74210E+01,1.00000E+00,2.01490E+01
7.68510E+01,1.00000E+00,1.91050E+01
7.70000E+01,1.00000E+00,1.96210E+01
7.76140E+01,1.00000E+00,1.98240E+01
7.61580E+01,1.00000E+00,1.94420E+01
7.66290E+01,1.00000E+00,1.95960E+01
7.66220E+01,1.00000E+00,1.88410E+01
7.70580E+01,1.73220E+00,1.94420E+01
7.74790E+01,1.41420E+00,1.95190E+01
7.66880E+01,1.41420E+00,1.94420E+01
7.64660E+01,1.00000E+00,1.91570E+01
7.74270E+01,1.00000E+00,1.88410E+01
7.67850E+01,1.00000E+00,1.88150E+01
7.67330E+01,1.00000E+00,1.80830E+01
7.65180E+01,1.00000E+00,1.90000E+01
7.67720E+01,1.00000E+00,1.87880E+01
7.71690E+01,1.00000E+00,1.97740E+01
7.71360E+01,1.00000E+00,1.90790E+01
7.73110E+01,1.41420E+00,1.83850E+01
7.68050E+01,1.41420E+00,1.90000E+01
7.72590E+01,1.00000E+00,1.90000E+01
7.66750E+01,1.00000E+00,1.94160E+01
7.59470E+01,1.00000E+00,1.90790E+01
