X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH,cost,success,ier,mesg
4784694518526.395,4.019779614345292,11.24232662256671,2.2916825739569657e-10,3.326611640456821e-11,1700508.76273,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
5010767787051.138,3.8475398812973407,10.149174281643889,2.2250055744681103e-10,3.033232596350377e-11,1392544.7911,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4776697546041.587,4.430601285453498,9.774533574773997,2.3186432484938863e-10,3.104645009190864e-11,1513597.97555,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000
4821004247491.386,4.447303503131047,11.232482011220222,2.3103048007423687e-10,3.418834708686249e-11,1536868.40957,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4747637568870.815,3.9716118158744402,10.256930445458229,2.2998643648378303e-10,3.225914471571857e-11,1380222.0744,True,2,The relative error between two consecutive iterates is at most 0.000000
4377503266616.2993,4.427580937228569,9.092563410674646,2.434936541947447e-10,3.5319479107499356e-11,1474637.10469,True,2,The relative error between two consecutive iterates is at most 0.000000
4756856470704.375,4.434199852946608,12.182552272056027,2.3228192771813989e-10,3.0875405130106287e-11,1660993.5452,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
5114332787075.425,4.237728543289663,9.737111394041333,2.2154200452984595e-10,3.0556983221234475e-11,1483179.30747,True,2,The relative error between two consecutive iterates is at most 0.000000
4990368492988.137,4.172410818563785,10.398017231891986,2.250112772605016e-10,3.2909563199699713e-11,1377445.92356,True,2,The relative error between two consecutive iterates is at most 0.000000
4715037757446.15,4.683121872091839,10.680456758313678,2.341987200349239e-10,2.8909659759171135e-11,1517223.9886,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
5065264428471.267,4.349474784633103,10.226142978445294,2.2427964707321141e-10,3.551500776926607e-11,1815218.29639,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000
4672327755656.605,4.765448136323433,9.186433015643047,2.355536156445119e-10,3.043666503265071e-11,1431417.49379,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4942182532444.203,4.25988982759529,9.723182728577502,2.2612407175525506e-10,2.830686294912699e-11,1333449.44136,True,2,The relative error between two consecutive iterates is at most 0.000000
4547584157927.625,4.55886810900688,11.091476132261729,2.3891051533301503e-10,3.518407713886064e-11,1404784.78089,True,2,The relative error between two consecutive iterates is at most 0.000000
4844927821084.729,4.618436420542531,10.491625961089648,2.3104095213782452e-10,3.284442588059158e-11,1533647.34528,True,2,The relative error between two consecutive iterates is at most 0.000000
5164309745722.666,4.092814746322377,10.984919481894368,2.205226661997588e-10,2.992599713669876e-11,1494715.13069,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000
4525617915993.516,4.3159320559660275,10.982393456845255,2.376818257837177e-10,3.3561094927494605e-11,1562147.6568,True,2,The relative error between two consecutive iterates is at most 0.000000
4503691966119.67,4.339775787562051,12.479829035573765,2.3907245206101845e-10,3.458840019776873e-11,1729779.07935,True,2,The relative error between two consecutive iterates is at most 0.000000
4759258353071.038,4.404103208389863,9.324965355218154,2.321377198616647e-10,3.478926792563285e-11,1498007.89342,True,2,The relative error between two consecutive iterates is at most 0.000000
4716243255037.337,4.188829080566836,10.50006142842423,2.3144999637011226e-10,3.1702402763517233e-11,1357465.45405,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4458276407115.112,4.3079342062938055,10.217620970435451,2.391879378238315e-10,3.670099220355858e-11,1572409.38232,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4314692099718.9854,4.619209710021768,10.06511385205459,2.471600042078353e-10,3.369445027243546e-11,1518837.99332,True,2,The relative error between two consecutive iterates is at most 0.000000
4578332359822.85,4.441564182757814,9.99404277726911,2.3814085217969875e-10,3.49434031322009e-11,1433717.36922,True,2,The relative error between two consecutive iterates is at most 0.000000
4804136717252.837,4.483200391306833,10.193228697627385,2.3147312727337294e-10,3.2841158059790117e-11,1535580.60979,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000
4698859447155.731,4.541317191264561,9.799286339399425,2.3413041152372486e-10,3.477657368780152e-11,1500194.81392,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4473218607256.1455,4.347418841764173,10.135726814973527,2.39788907907731e-10,3.749237351896966e-11,1431453.42735,True,2,The relative error between two consecutive iterates is at most 0.000000
4592263160168.155,4.6357082082715175,9.83652871463306,2.380428626742753e-10,3.3397762750995413e-11,1535266.5458,True,2,The relative error between two consecutive iterates is at most 0.000000
5037991952839.519,4.366507303543765,8.736006825742766,2.2539702407956248e-10,3.2111053545894737e-11,1607166.46355,True,2,The relative error between two consecutive iterates is at most 0.000000
4596496328527.056,4.357827869912181,10.152950026988183,2.364342573706633e-10,2.969002390266985e-11,1460015.9622,True,2,The relative error between two consecutive iterates is at most 0.000000
4642895525790.036,4.466758173265946,9.47710692470322,2.3465085438077176e-10,3.456681602310375e-11,1510347.73001,True,2,The relative error between two consecutive iterates is at most 0.000000
4669548937705.773,4.531628652652188,10.351980579121031,2.357685715715969e-10,3.3161500897660626e-11,1489406.01574,True,2,The relative error between two consecutive iterates is at most 0.000000
4713289754793.348,4.514612607050149,9.846632125326508,2.331279735035418e-10,3.2755611803494565e-11,1638170.37584,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000
4615986626100.512,3.8764532926760764,10.873069732864368,2.331900437593692e-10,3.331851337269679e-11,1633308.40708,True,2,The relative error between two consecutive iterates is at most 0.000000
4903690366156.608,4.0290999533474565,10.37690570132979,2.255988914027286e-10,3.048396093407248e-11,1622331.00933,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4652292925040.792,4.46231317891264,10.52771884898661,2.3582532948047353e-10,3.147263177980955e-11,1538890.36264,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4721073289320.892,4.333928553021626,10.272510677715871,2.3192705270014878e-10,3.2395856748084864e-11,1483186.3398,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4583612092351.135,4.676686262190491,7.617930859511967,2.3885863823357806e-10,3.4118090709818705e-11,1472739.83169,True,2,The relative error between two consecutive iterates is at most 0.000000
4606748426377.706,4.339592773609799,11.628895746078047,2.366782033599541e-10,3.746598197542563e-11,1679140.91641,True,2,The relative error between two consecutive iterates is at most 0.000000
4630291967957.894,4.255743640142744,11.276359943097983,2.352584198165309e-10,3.408108810298013e-11,1710621.56542,True,2,The relative error between two consecutive iterates is at most 0.000000
